更新年月日：2014年11月29日
"形状(WKT)","ルートID","名称","問い合わせ先","ホームページ"
"POINT(136.792334603552 35.1315014424672)","rt0203","海部水郷地帯の酒","",""
"POINT(136.778158115828 35.1337014295422)","rt0203","尾張温泉","",""
"POINT(136.719315201852 35.1044448883581)","rt0204","水郷の塔","","http://www.city.yatomi.lg.jp/"
"POINT(136.784860919401 35.049382775572)","rt0204","弥富野鳥園","","http://aichi-park.or.jp/yachou/"
"POINT(136.769131474854 35.2049941707013)","rt0205","蓮華寺寺叢","052-444-1272",""
"POINT(136.799736634281 35.1838799374143)","rt0205","七宝焼アートヴレッジ","052-443-7588",""
"POINT(136.785237227556 35.1686819266218)","rt0205","JA海部東グリーンプラザ","0567-23-7380",""
"POINT(136.823598807613 35.1936854304845)","rt0205","甚目寺歴史民俗資料館","052-443-0145",""
"POINT(136.742310601271 35.1206364422355)","rt0206","水の館","0567-65-5225　",""
"POINT(136.724040761382 35.1940295343417)","rt0206","海部応急ポンプ管理センター","",""
"POINT(136.747158427804 35.1123780244617)","rt0206","ＪＡあいち海部グリンセンター十四山店","0567-56-6808",""
"POINT(136.774574789363 35.0845788846691)","rt0206","飛島村大宝排水機場保存館","",""
"POINT(136.851631715439 34.9145521233177)","rt0301","前山ダム公園","",""
"POINT(136.866916046395 34.8555163797801)","rt0301","多賀の里","0569-34-8630",""
"POINT(136.867315675108 34.8236766260637)","rt0301","小脇公園","0569-37-1531",""
"POINT(136.866121803249 34.8273157234361)","rt0301/rt0308","盛田味の館","0569-37-0733",""
"POINT(136.888936600927 34.9609701188901)","rt0302","佐布里池","",""
"POINT(136.822690042032 34.9552655156345)","rt0302","新舞子マリンパーク","",""
"POINT(136.868036783702 34.999070839794)","rt0302/rt0305","知多市歴史民俗博物館","0562-33-1571",""
"POINT(136.888631283292 34.9670724080865)","rt0302/rt0306/rt0308","佐布里緑と花のふれあい公園","0562-54-2911",""
"POINT(136.844636535661 34.7578182495021)","rt0303","野間崎灯台","美浜町役場0569-82-1111",""
"POINT(136.890082961333 34.7888875871006)","rt0303","美浜町民の森","美浜町役場0569-82-1111",""
"POINT(136.847166001525 34.7562112189941)","rt0303/rt0305/rt0310","食と健康の館","0569-83-3600",""
"POINT(136.879102210794 34.8011135270615)","rt0303/rt0307/rt0308/rt0312","ジョイフルファーム鵜の池","0569-87-6080",""
"POINT(136.883329753302 34.8016913871159)","rt0303/rt0307/rt0308/rt0312","鵜の池","0569-82-1111",""
"POINT(136.910635175662 34.9096334319322)","rt0304","黒牛の里","0569-23-8672",""
"POINT(136.934209410877 34.893309828257)","rt0304","博物館 酢の里","0569-24-5111",""
"POINT(136.882865996696 34.9018009692427)","rt0304","半田まんてん広場","0569-27-6030",""
"POINT(136.934936695878 34.8953666066623)","rt0304","國盛　酒の文化館","0569-23-1499",""
"POINT(136.897783072233 34.890899863933)","rt0304","ブリオ","0569-20-5410",""
"POINT(136.934956319551 34.8922745442238)","rt0304/rt0309","半田運河","半田市観光協会0569-32-3264",""
"POINT(136.862577442022 34.8160292053353)","rt0305","坂井海岸","小鈴谷漁港0569‐37‐0217",""
"POINT(136.943302363089 34.993941017241)","rt0305/rt0306/rt0311","げんきの郷","0562‐45‐4080",""
"POINT(136.938171818899 34.7065353850215)","rt0305/rt0308","豊浜魚ひろば","0569‐65‐0483",""
"POINT(136.962580817781 34.9725198711211)","rt0306","うのはな館","0562‐82‐1188",""
"POINT(136.906865799654 35.0221836611671)","rt0306","東海市立農業センター","052-601-87311",""
"POINT(136.951889250825 34.9903235773292)","rt0306/rt0311","東浦町森岡ぶどう組合","東浦町森岡ぶどう組合0562-84-0219",""
"POINT(137.002458238956 34.707152838958)","rt0307","自然、漁業体験","日間賀島観光協会0569-68-2388",""
"POINT(136.91867843829 34.8513959275249)","rt0309","ぎゃらりぃ「夢之蔵」","0569-73-7883","<a href="http://www.teketoyo-sci.or.jp/yumenokura/index.html">http://www.teketoyo-sci.or.jp/yumenokura/index.html</a>"
"POINT(136.91478270809 34.8558503089547)","rt0309","武豊町歴史民俗資料館","0569-73-2424",""
"POINT(136.86936760124 34.7332159056281)","rt0310","内海海水浴場","内海観光協会0569-62-0430",""
"POINT(136.929530842871 34.7048059976294)","rt0310","豊浜鯛祭り","商工観光課0569-65-0711",""
"POINT(137.003142424268 34.6812170940465)","rt0312","コウナゴの天日干しの","(問合先)篠島観光案内所0569-67-3700",""
"POINT(137.319732833498 34.9866939732436)","rt0401","かおれ渓谷","岡崎市観光協会0564-23-6217",""
"POINT(137.159012780888 34.9575462762634)","rt0401/rt0402/rt0403","岡崎公園","岡崎市公園緑地課0564-23-6250",""
"POINT(137.15230046021 34.9582037481254)","rt0401/rt0402/rt0403","八丁蔵通り","岡崎市観光協会0564-23-6217",""
"POINT(137.184330162282 35.0156453352634)","rt0402","おかざき自然体験の森","0564-45-5544",""
"POINT(137.177047915142 34.877539202455)","rt0402","幸田憩いの農園","0664-62-4339",""
"POINT(137.18107745241 34.837368183453)","rt0402","花の寺「本光寺」","幸田町観光協会0564-62-1111",""
"POINT(137.333873119599 34.9269703887309)","rt0403","男川ヤナ","0564-82-2089",""
"POINT(137.221811737625 34.9115493407492)","rt0403","藤川宿資料館","岡崎市観光協会0564-23-6217",""
"POINT(137.39892424287 34.9389613350107)","rt0403","くらがり渓谷","くらがりキャンプセンター　0564-83-2057",""
"POINT(137.081848136464 34.8420813420611)","rt0404","赤馬の径","吉良町観光協会（吉良町役場産業課内）0563-32-2157","http://www.town.kira.lg.jp/kanko/"
"POINT(137.051688559099 34.8359263942323)","rt0404","西尾市憩の農園、バラ園","西尾市憩いの農園0563-56-8168","http://www.ja-nishimikawa.com/top/"
"POINT(137.048430754681 34.8662135063063)","rt0404","西尾市歴史公園","西尾市観光協会（西尾市役所商工課内）0563-56-2111 (代表)","http://www.240kanko.com/"
"POINT(137.038556328264 34.8788604489743)","rt0404/rt0405","西尾の抹茶工場見学","西尾市観光協会（西尾市役所商工課内）0563-56-2111 (代表)","http://www.240kanko.com/"
"POINT(137.053910316551 34.8743682009994)","rt0405","西尾市岩瀬文庫","西尾市教育委員会文化振興課（西尾市岩瀬文庫内）0563-56-2459",""
"POINT(137.065194701938 34.8066486852457)","rt0405/rt0406","尾崎士郎記念館、旧糟谷邸","吉良町教育委員会生涯学習課(吉良町立図書館内）0563-32-3400",""
"POINT(137.014054740316 34.7945782753335)","rt0405/rt0406/rt0407","一色さかな広場、さかな村","一色さかなセンター(株)0563-72-3700","http://www.katch.ne.jp/~ishikisakana/SAKANA/index2.htm"
"POINT(137.144527789077 34.7885597372501)","rt0406","三河湾観光漁船","東幡豆漁業協同組合0563-62-2068","http://www.katch.ne.jp/~higasihazu-gk/"
"POINT(137.072623678379 34.8095214283344)","rt0406","金蓮寺弥陀堂","吉良町教育委員会生涯学習課(吉良町立図書館内）0563-32-3400",""
"POINT(137.035277788653 34.725277036129)","rt0407","大葉邸","一色町佐久島振興室0563-72-9607","http://www.sakushima.com/about/art/ohba.php"
"POINT(137.046048109222 34.7224213616407)","rt0407","シーサイドプロムナード","一色町佐久島振興室0563-72-9607","http://www.sakushima.com/about/asobi/ooura.php"
"POINT(137.035069269795 34.725943930997)","rt0407","黒壁の家並み","一色町佐久島振興室0563-72-9607","http://www.sakushima.com/island/kurokabe/index.php"
"POINT(137.034403204519 34.7259432097426)","rt0407","弁天サロン","佐久島弁天サロン0563-78-2001"," http://www.sakushima.com/guide/benten_saron.php "
"POINT(137.027083888358 34.8058987541015)","rt0407","学びの館","学びの館0563-72-3880","http://www.240kanko.com/?p=928&subid=32"
"POINT(137.318499790262 35.1372849661347)","rt0501","中馬館","0565-62-0878",""
"POINT(137.311930576026 35.1333987437577)","rt0501","花もみじ","0565-62-0053",""
"POINT(137.332516539213 35.1388892075742)","rt0501","百年草","0565-62-0100",""
"POINT(137.31391007543 35.1297003975996)","rt0501","三州足助屋敷","0565-62-1188",""
"POINT(137.385284347387 35.1161069319844)","rt0501","鼎工房","0565-62-2693",""
"POINT(137.314041787522 35.1358120877142)","rt0501","中馬街道","０５６５?６２?１２７２","http://www.mirai.ne.jp/~asuke/asuke.htm"
"POINT(137.260974154691 35.0505599067575)","rt0502","松平郷","松平郷館080-5166-1629",""
"POINT(137.392653661363 35.1030493650466)","rt0502","田之土里湿原","愛知県豊田加茂事務所環境保全課0565-32-3381",""
"POINT(137.375562815749 35.0768926573756)","rt0502","三河高原","愛知県畜産総合センター0564-86-3504",""
"POINT(137.405338860654 35.0331528299527)","rt0502","三河湖","三河湖観光センター0564-86-3510",""
"POINT(137.384002570865 35.0423608269344)","rt0502","手作り工房山遊里","0564-87-1186",""
"POINT(137.396463247689 35.0377223651675)","rt0502","香恋の館","0565-86-4120",""
"POINT(137.502876637349 35.2136534872241)","rt0503","どんぐり横丁","0536-82-3666",""
"POINT(137.486109014107 35.2513427824594)","rt0503","押川大滝","いなぶ観光協会0536-86-3200",""
"POINT(137.503692274044 35.2143363112309)","rt0503","どんぐり工房","0536-86-3838",""
"POINT(137.464054432213 35.1972767661872)","rt0503","モッキー","0536-82-2311",""
"POINT(137.463999293819 35.197213800773)","rt0503","郷土資料館「ちゅーま」","0565-82-3439",""
"POINT(137.507790793162 35.214685407395)","rt0503","古橋懐古館","0536-82-2100",""
"POINT(137.170993717769 35.2011664913185)","rt0504","猿投山と菊石","豊田市商業観光課0565-34-6642",""
"POINT(137.29224366849 35.2754970818036)","rt0504","大福魚苑","0565-65-2648",""
"POINT(137.294361383237 35.2380312432284)","rt0504","和紙のふるさと","0565-65-2151",""
"POINT(137.087939689485 35.0928135577047)","rt0504","三好公園","三好町観光協会0561-34-6000",""
"POINT(137.075875027158 35.0829792087598)","rt0504","保田ケ池公園","三好町都市整備課0561-32-2111",""
"POINT(137.09064308794 35.0752638403375)","rt0504","さんさんの郷","0561-34-6111",""
"POINT(137.39944839395 35.1972379013495)","rt0505","つくば工房","0565-68-2611",""
"POINT(137.324881124122 35.1968444583702)","rt0505","お須原山縁結び岩","旭観光協会0565-68-3653",""
"POINT(137.360609403121 35.2034000795943)","rt0505","貞観杉","旭観光協会0565-68-3653",""
"POINT(137.384040049286 35.2422303014234)","rt0505","時瀬大いちょう","旭観光協会0565-68-3653",""
"POINT(137.406717114845 35.2192098305171)","rt0505","旭高原元気村","0565068-2755",""
"POINT(137.240887750281 35.0343204073274)","rt0506","二畳ケ滝","",""
"POINT(137.198197800037 35.0893373505268)","rt0506","自然観察の森","0565-88-1310",""
"POINT(137.23100752453 35.0555555899624)","rt0506","滝川ふれあい工房","0565-58-3771",""
"POINT(137.151741728857 35.0804070532837)","rt0506","七州城址公園","豊田市美術館0565-34-6610",""
"POINT(137.556354402158 34.9963426728942)","rt0601","やまびこの丘","0563-35-1191",""
"POINT(137.568526083091 35.0502645387647)","rt0601","新城市四谷地区","新城市観光協会鳳来支部0536-32-0022",""
"POINT(137.578822402548 34.9722263240064)","rt0601","鳳来寺山自然科学博物館","0563-35-1001",""
"POINT(137.615904257179 34.9741771980482)","rt0601","鳳来ゆーゆーありいな","0536-32-2212",""
"POINT(137.420641678522 34.9631856588179)","rt0602","つくで手作り村（味彩館、山家市）","0563-37-2772","<a href="http://www.tukude.com/">http://www.tukude.com/</a>"
"POINT(137.421418069277 34.9628324571347)","rt0602","つくで手作り村（勇気工房）","",""
"POINT(137.42230289258 34.9621364613767)","rt0602","つくで手作り村（とんちん館）","0563-37-2488",""
"POINT(137.420323366617 34.962942925504)","rt0602","つくで手作り村（みのり館（もぎとり園））","0563-37-2772",""
"POINT(137.423337305589 34.9637659512943)","rt0602","歴史の小径（亀山城趾等）","新城市教育委員会文化課0563-23-7655",""
"POINT(137.665754544766 35.0981401499034)","rt0604","振草農産物生産直売組合","0536-78-5108",""
"POINT(137.706688556705 35.0748516376287)","rt0604","とうえい温泉","0536-77-0268",""
"POINT(137.69821977791 35.1435610631714)","rt0604","湯?らんどパルとよね","0536-85-1126",""
"POINT(137.721236390272 35.0468410352361)","rt0604","愛知東農業協同組合東栄直売所","0536-79-3343",""
"POINT(137.655122184524 35.2278282939236)","rt0605","茶臼山高原","0536-87-2345",""
"POINT(137.605164700807 35.2003636128552)","rt0605","つぐ高原グリーンパーク","0536-83-2344",""
"POINT(137.53454614756 35.1728434225496)","rt0605","アグリステーションなぐら","0536-62-0888",""
"POINT(137.062195079066 34.6282092729262)","rt0701","キャベツ畑","",""
"POINT(137.208344257864 34.6155082774551)","rt0701","愛知みなみ農協ふれあい広場赤羽根店","0531-45-3135",""
"POINT(137.201856574676 34.6427274700065)","rt0701","サンテパルクたはら","0531-25-1234",""
"POINT(137.060557579467 34.5951487287233)","rt0701","初立池公園","",""
"POINT(137.269176338746 34.6735125654762)","rt0701","田原城跡・田原市博物館","0531-22-1720",""
"POINT(137.017436410039 34.5789932060596)","rt0701/rt0705","伊良湖岬灯台","",""
"POINT(137.23206329707 34.8114874379111)","rt0702","竹島","",""
"POINT(137.20106601996 34.8147545680755)","rt0702","蒲郡海鮮市場","0533-68-7879",""
"POINT(137.241075782468 34.8544296339992)","rt0702","蒲郡オレンジパーク","0533-68-2321",""
"POINT(137.225412318993 34.819433053181)","rt0702","手織り三河木綿工房","0533-68-5771",""
"POINT(137.263182448288 34.8304793653782)","rt0702","とよおか湖公園","",""
"POINT(137.259763915657 34.8238469975692)","rt0702","砥神山麓収穫体験園","0533-67-1570",""
"POINT(137.458009089215 34.7255043601559)","rt0703","産直プラザ二川","0532-41-2413",""
"POINT(137.392118233811 34.7677445807227)","rt0703","豊橋市公会堂","",""
"POINT(137.393076523253 34.7706186048402)","rt0703","吉田城","",""
"POINT(137.449878970287 34.7236393750932)","rt0703","二川宿本陣（ふたがわしゅくほんじん）資料館","0532-41-8580",""
"POINT(137.352641046528 34.8523990400655)","rt0704","四季の森","0533-88-7270","http://www.city.toyokawa.lg.jp/"
"POINT(137.310076459795 34.857288685997)","rt0704","グリーンセンター音羽（ぺったん工房、加工品購入）","0533-88-6600",""
"POINT(137.426121316747 34.877641441555)","rt0704","本宮の湯","0533-92-1880",""
"POINT(137.368552861856 34.7987345625156)","rt0704","五社稲荷社朝市","0533-72-3062",""
"POINT(137.310931404506 34.8521130980407)","rt0704","御油（ごゆ）の松並木","",""
"POINT(137.322054461837 34.7888141564061)","rt0705","三河臨海緑地「日本列島」","",""
"POINT(137.190326450942 34.7955641410057)","rt0705","ブルーブリッジ（形原漁港大橋）","",""
"POINT(137.101329139844 34.6253876817069)","rt0705","愛知みなみ農協　ふれあい広場渥美店","0531-32-1151",""
"POINT(137.261790717764 34.6847785472643)","rt0705","蔵王山（ざおうさん）展望台","0531-22-0426",""
"POINT(137.177571142614 34.7805649072274)","rt0705","西浦鮮魚マーケット","0533-57-6155",""
"POINT(137.476892860563 34.8959398529879)","rt0606","グリーンセンターしんしろ","0536-23-7560",""
"POINT(137.527991545382 34.9188315456923)","rt0606","新城市設楽原歴史資料館","0536-22-0673",""
"POINT(137.55511935262 34.9250131287147)","rt0606","こんたく長篠","0536-32-0002",""
"POINT(137.559608627104 34.9230695321046)","rt0606","長篠城址","0536-32-0162","http://www.city.shinshiro.lg.jp/index.cfm/6,0,118,664,html "
"POINT(137.586029727348 34.9788995625471)","rt0606","鳳来寺山","0536-32-0604",""
"POINT(137.534718496101 35.055005315068)","rt0606","田峯城址","0536-64-5505",""
"POINT(137.664392171667 35.0218918397955)","rt0607","乳岩峡","新城市観光協会","http://shinshirokankou.com"
"POINT(137.626556606615 34.9950423168597)","rt0607","愛知県民の森","愛知県民の森"," http://www.aichi-park.or.jp/kenmin/index.html "
"POINT(137.613528064185 34.9702104905604)","rt0607","湯谷温泉","（要）各旅館",""
"POINT(136.915555388012 34.9326044526345)","rt0311","阿久比町みんなの菊花展","",""
"POINT(136.96177987132 35.0214594414225)","rt0311","収穫体験〔ぶどう狩り〕","大府長根山観光ぶどう組合事務局　大府市長根町２?１８　0562-46-3634,0562-46-3705東浦町観光センター　知多郡東浦町大字森岡　0562-84-0219",""
"POINT(136.884501353224 35.0153637071072)","rt0312","東海フラワーショウ","(問会先)東海市環境経済部農務課052-603-2211,0562-33-1111",""
"POINT(136.983429961984 34.9885993733039)","rt0408","刈谷市亀城公園","・刈谷市観光協会（刈谷市役所商工課内）・〒448-8501刈谷市東陽町1-1・0566-23-4100","<a href="http://www.kariya-guide.com/">http://www.kariya-guide.com/</a>"
"POINT(136.980884348794 34.8739810592314)","rt0408","伝統食品工場見学[九重みりん時代館・九重味淋大蔵]","碧南市観光協会（碧南市役所商工課内）〒447-8601 碧南市松本町280566-41-3311(代表)","<a href="http://www.city.hekinan.aichi.jp/KANKOKYOKAI/index.htm">http://www.city.hekinan.aichi.jp/KANKOKYOKAI/index.htm</a>"
"POINT(136.977085768196 34.865699506293)","rt0408","伝統食品工場見学[株式会社　角谷文次郎商店]","碧南市観光協会（碧南市役所商工課内）〒447-8601 碧南市松本町280566-41-3311(代表)","<a href="http://www.city.hekinan.aichi.jp/KANKOKYOKAI/index.htm">http://www.city.hekinan.aichi.jp/KANKOKYOKAI/index.htm</a>"
"POINT(136.996679822732 34.905826715345)","rt0408","伝統食品工場見学[ヤマシン 株式会社　白しょうゆ醸造工場]","碧南市観光協会（碧南市役所商工課内）〒447-8601 碧南市松本町280566-41-3311(代表)","<a href="http://www.city.hekinan.aichi.jp/KANKOKYOKAI/index.htm">http://www.city.hekinan.aichi.jp/KANKOKYOKAI/index.htm</a>"
"POINT(136.986433607804 34.9025034983823)","rt0408","伝統食品工場見学[七福醸造　株式会社　ありがとうの里]","碧南市観光協会（碧南市役所商工課内）〒447-8601 碧南市松本町280566-41-3311(代表)","<a href="http://www.city.hekinan.aichi.jp/KANKOKYOKAI/index.htm">http://www.city.hekinan.aichi.jp/KANKOKYOKAI/index.htm</a>"
"POINT(136.982864443962 34.8837201606711)","rt0408","伝統食品工場見学[スギ製菓　株式会社　工場]","碧南市観光協会（碧南市役所商工課内）〒447-8601 碧南市松本町280566-41-3311(代表)","<a href="http://www.city.hekinan.aichi.jp/KANKOKYOKAI/index.htm">http://www.city.hekinan.aichi.jp/KANKOKYOKAI/index.htm</a>"
"POINT(136.968666262068 34.8510007711279)","rt0408","碧南市あおいパーク","碧南市農業活性化センター あおいパーク〒447-0825碧南市江口町3-15-30566-43-0511",""
"POINT(136.970446383968 34.8473976793044)","rt0408","前浜新田の松並木","碧南市役所　公園緑地課〒447?8601　碧南市松本町28電話0566-41-3311（内線431）","<a href="http://www.city.hekinan.aichi.jp/index.html%20">http://www.city.hekinan.aichi.jp/index.html</a>"
"POINT(137.055136027339 35.0033263485319)","rt0409","旧東海道「池鯉鮒」の松並木","知立市観光協会（知立市役所経済課内）〒472-8666 知立市広見3-10566-83-1111（内線211・212）","<a href="http://www.city.chiryu.aichi.jp/">http://www.city.chiryu.aichi.jp/</a>"
"POINT(137.09993715182 34.9865918238722)","rt0409","明治用水（明治川神社から中井筋）","明治用水土地改良区 (明治用水会館内)〒446-0065安城市大東町22-160566-76-6241","<a href="http://midorinet-meiji.jp/%20">http://midorinet-meiji.jp/</a>"
"POINT(137.060740967818 34.9302124860389)","rt0409/rt0410","安城市デンパーク","財団法人安城都市農業振興協会〒446-0046安城市赤松町梶10566-92-7111","<a href="http://denpark.jp/">http://denpark.jp/</a>"
"POINT(137.070203639262 34.9444547755918)","rt0409/rt0410","都市に広がる集団農地","安城市役所経済環境部農務課農政係〒446-8501 安城市桜町18-230566-76-1111(代表)","<a href="http://www.city.anjo.aichi.jp/kakuka/nomu/index.html%20">http://www.city.anjo.aichi.jp/kakuka/nomu/index.html</a>"
"POINT(137.120738592708 35.0053070622037)","rt0410","明治緑道水車公園の三連水車","明治用水土地改良区 (明治用水会館内)〒446-0065安城市大東町22-160566-76-6241","<a href="http://midorinet-meiji.jp/%20">http://midorinet-meiji.jp/</a>"
"POINT(137.08305532389 34.9672897704579)","rt0410","明治用水（明治用水歴史資料室・豊田安城自転車道）","明治用水土地改良区 (明治用水会館内)〒446-0065安城市大東町22-160566-76-6241","<a href="http://midorinet-meiji.jp/%20">http://midorinet-meiji.jp/</a>"
"POINT(137.645359444919 34.9506715551434)","rt0607","阿寺の七滝","",""
"POINT(137.45045545466 34.7485467246394)","rt0703","葦毛湿原","",""
